town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,district_raw,subdistrict,municipality,lat_g,lon_g
Lefkosia,Λευκωσία,Lefkoşa,55014,26520,28494,Lefkosia,True,35.1855659,33.38227639999999,ChIJVU1JymcX3hQRpcARA5ykXls,True,,,,Λευκωσίας,,,,
Agios Dometios,Άγιος Δομέτιος,Aydemet,12456,5861,6595,Lefkosia,True,35.1727869,33.3290916,ChIJqzUpSaEQ3hQRgmUX_emhREA,True,,,,Λευκωσίας,,,,
Egkomi,Έγκωμη,İncirli,18010,8547,9463,Lefkosia,True,35.1538229,33.3169542,ChIJtcdnJb8Q3hQR80ccwpjkIPk,True,,,,Λευκωσίας,,,,
Strovolos,Στροβόλος,Strovolos,67904,32248,35656,Lefkosia,True,35.1436629,33.3437909,ChIJ90x2dika3hQRq7-H2HRHAJo,True,,,,Λευκωσίας,,,,
Aglantzia,Αγλαντζιά,Atalassa,20783,9803,10980,Lefkosia,True,35.1498034,33.394086,ChIJb0vkuNMZ3hQR_4oSWBdFjX0,True,,,,Λευκωσίας,,,,
Lakatameia,Λακατάμεια,Lakadamya,38345,18674,19671,Lefkosia,True,35.1185656,33.3145382,ChIJvfpe0pgb3hQRzVO7VGoRPls,True,,,,Λευκωσίας,,,,
Synoikismos Anthoupolis,Συνοικισμός Ανθούπολης,Anthoupolis,1756,767,989,Lefkosia,True,35.1139513,33.2896786,ChIJB3reYWMb3hQRdCFNyi8yBbM,False,,,,Λευκωσίας,,,,
Latsia,Λατσιά,Uluyurt,16774,8132,8642,Lefkosia,True,35.1063639,33.3782668,ChIJbbBNlTcZ3hQRO3tmqqvDS3E,True,,,,Λευκωσίας,,,,
Geri,Γέρι,Yeri,8235,4065,4170,Lefkosia,True,35.1075703,33.422429,ChIJea8LrGAY3hQRBtiaqfqbnPM,False,,,,Λευκωσίας,,,,
Sia,Σιά,Sha,754,368,386,Lefkosia,True,34.9552892,33.3894743,ChIJyaqxJB2h4BQR4xR_8HkompQ,False,,,,Λευκωσίας,,,,
Mathiatis,Μαθιάτης,Matyat,646,326,320,Lefkosia,True,34.9630255,33.3366467,ChIJW3plc8Wm4BQRY6HRtjDfXkY,False,,,,Λευκωσίας,,,,
Alampra,Αλάμπρα,Alampra,1585,788,797,Lefkosia,True,34.9884546,33.3988433,ChIJvd1cIXmg4BQRSKeaCzuaokk,False,,,,Λευκωσίας,,,,
Agia Varvara ,Αγία Βαρβάρα ,Agia Varvara,2204,1102,1102,Lefkosia,True,34.9968356,33.3694007,ChIJHytKHKOg4BQRJEAahLexqTg,False,,,,Λευκωσίας,,,,
Kotsiatis,Κοτσιάτης,Koçyatağı,160,80,80,Lefkosia,True,35.0128665,33.3499895,ChIJXfhakAAe3hQRWV-sgS8mq-Y,False,,,,Λευκωσίας,,,,
Nisou,Νήσου,Dizdarköy,2179,1086,1093,Lefkosia,True,35.022874,33.3947933,ChIJf408cUse3hQR5sC4kmutaRI,False,,,,Λευκωσίας,,,,
Pera Chorio,Πέρα Χωριό,Pera Chorio,2637,1321,1316,Lefkosia,True,35.0145628,33.3941585,ChIJbVqEZNIf3hQRkuPAwfMYpT8,False,,,,Λευκωσίας,,,,
