geo_code,town,population,male_population,female_population,district,is_dimos
1000,Λευκωσία,55014,26520,28494,Λευκωσίας,True
1010,Άγιος Δομέτιος,12456,5861,6595,Λευκωσίας,True
1011,Έγκωμη,18010,8547,9463,Λευκωσίας,True
1012,Στροβόλος,67904,32248,35656,Λευκωσίας,True
1013,Αγλαντζιά,20783,9803,10980,Λευκωσίας,True
1021,Λακατάμεια,38345,18674,19671,Λευκωσίας,True
1022,Συνοικισμός Ανθούπολης,1756,767,989,Λευκωσίας,False
1023,Λατσιά,16774,8132,8642,Λευκωσίας,True
1024,Γέρι,8235,4065,4170,Λευκωσίας,False
1100,Σιά,754,368,386,Λευκωσίας,False
1101,Μαθιάτης,646,326,320,Λευκωσίας,False
1102,Αλάμπρα,1585,788,797,Λευκωσίας,False
1103,Αγία Βαρβάρα Λευκωσίας,2204,1102,1102,Λευκωσίας,False
1104,Κοτσιάτης,160,80,80,Λευκωσίας,False
1105,Νήσου,2179,1086,1093,Λευκωσίας,False
1106,Πέρα Χωριό,2637,1321,1316,Λευκωσίας,False
1107,Δάλι,10466,5246,5220,Λευκωσίας,True
1108,Λύμπια,2694,1384,1310,Λευκωσίας,False
1109,Λυθροδόντας,3043,1564,1479,Λευκωσίας,False
1110,Λουρουκίνα,11,6,5,Λευκωσίας,False
1120,Ποταμιά,505,257,248,Λευκωσίας,False
1121,Άγιος Σωζόμενος,11,10,1,Λευκωσίας,False
1200,Καμπί,97,47,50,Λευκωσίας,False
1201,Φαρμακάς,480,239,241,Λευκωσίας,False
1202,Απλίκι,87,43,44,Λευκωσίας,False
1203,Λαζανιάς,39,33,6,Λευκωσίας,False
1204,Γούρρη,196,94,102,Λευκωσίας,False
1205,Φικάρδου,15,7,8,Λευκωσίας,False
1206,Άγιος Επιφάνιος Ορεινής,412,203,209,Λευκωσίας,False
1207,Καλό Χωριό Ορεινής,734,359,375,Λευκωσίας,False
1208,Μαλούντα,490,251,239,Λευκωσίας,False
1209,Κλήρου,1847,942,905,Λευκωσίας,False
1210,Αρεδιού,1225,615,610,Λευκωσίας,False
1211,Άγιος Ιωάννης Μαλούντας,472,229,243,Λευκωσίας,False
1212,Αγροκηπιά,509,251,258,Λευκωσίας,False
1213,Μιτσερό,860,409,451,Λευκωσίας,False
1220,Καπέδες,572,309,263,Λευκωσίας,False
1221,Καταλιόντας,24,15,9,Λευκωσίας,False
1222,Αναλιόντας,443,215,228,Λευκωσίας,False
1223,Καμπιά,475,221,254,Λευκωσίας,False
1224,Μαργί,146,83,63,Λευκωσίας,False
1225,Τσέρι,7035,3474,3561,Λευκωσίας,False
1226,Πολιτικό,419,199,220,Λευκωσίας,False
1227,Πέρα,1372,671,701,Λευκωσίας,False
1228,Επισκοπειό,524,272,252,Λευκωσίας,False
1229,Ψιμολόφου,1626,831,795,Λευκωσίας,False
1230,Εργάτες,1792,938,854,Λευκωσίας,False
1231,Ανάγεια,1514,733,781,Λευκωσίας,False
1232,Πάνω Δευτερά,2789,1405,1384,Λευκωσίας,False
1233,Κάτω Δευτερά,2054,966,1088,Λευκωσίας,False
1240,Άγιοι Τριμιθιάς,1529,758,771,Λευκωσίας,False
1241,Παλαιομέτοχο,4145,2113,2032,Λευκωσίας,False
1242,Δένεια,373,181,192,Λευκωσίας,False
1243,Κοκκινοτριμιθιά,4077,2030,2047,Λευκωσίας,False
1244,Μάμμαρη,1592,797,795,Λευκωσίας,False
1300,Παλαιχώρι Μόρφου,686,330,356,Λευκωσίας,False
1301,Ασκάς,170,84,86,Λευκωσίας,False
1302,Άλωνα,67,28,39,Λευκωσίας,False
1303,Φτερικούδι,90,41,49,Λευκωσίας,False
1304,Πολύστυπος,128,60,68,Λευκωσίας,False
1305,Λαγουδερά,84,34,50,Λευκωσίας,False
1306,Σαράντι,44,20,24,Λευκωσίας,False
1307,Λιβάδια Λευκωσίας,18,9,9,Λευκωσίας,False
