geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon,gm_id,english_name,turkish_name
1000,Λευκωσία,55014,26520,28494,Λευκωσίας,True,35.1855659,33.38227639999999,ChIJVU1JymcX3hQRpcARA5ykXls,Nicosia,Lefkoşa
1010,Άγιος Δομέτιος,12456,5861,6595,Λευκωσίας,True,35.1727869,33.3290916,ChIJqzUpSaEQ3hQRgmUX_emhREA,Agios Dometios,Aydemet
1011,Έγκωμη,18010,8547,9463,Λευκωσίας,True,35.1538229,33.3169542,ChIJtcdnJb8Q3hQR80ccwpjkIPk,Egkomi,İncirli
1012,Στροβόλος,67904,32248,35656,Λευκωσίας,True,35.1436629,33.3437909,ChIJ90x2dika3hQRq7-H2HRHAJo,Strovolos,Strovolos
1013,Αγλαντζιά,20783,9803,10980,Λευκωσίας,True,35.1498034,33.394086,ChIJb0vkuNMZ3hQR_4oSWBdFjX0,Aglantzia,Atalassa
1021,Λακατάμεια,38345,18674,19671,Λευκωσίας,True,35.1185656,33.3145382,ChIJvfpe0pgb3hQRzVO7VGoRPls,Lakatamia,Lakadamya
1022,Συνοικισμός Ανθούπολης,1756,767,989,Λευκωσίας,False,35.1139513,33.2896786,ChIJB3reYWMb3hQRdCFNyi8yBbM,Anthoupolis,Anthoupolis
1023,Λατσιά,16774,8132,8642,Λευκωσίας,True,35.1063639,33.3782668,ChIJbbBNlTcZ3hQRO3tmqqvDS3E,Latsia,Uluyurt
1024,Γέρι,8235,4065,4170,Λευκωσίας,False,35.1075703,33.422429,ChIJea8LrGAY3hQRBtiaqfqbnPM,Geri,Yeri
1100,Σιά,754,368,386,Λευκωσίας,False,34.9552892,33.3894743,ChIJyaqxJB2h4BQR4xR_8HkompQ,Sia,Sha
1101,Μαθιάτης,646,326,320,Λευκωσίας,False,34.9630255,33.3366467,ChIJW3plc8Wm4BQRY6HRtjDfXkY,Mathiatis,Matyat
1102,Αλάμπρα,1585,788,797,Λευκωσίας,False,34.9884546,33.3988433,ChIJvd1cIXmg4BQRSKeaCzuaokk,Alampra,Alampra
1103,Αγία Βαρβάρα Λευκωσίας,2204,1102,1102,Λευκωσίας,False,34.9968356,33.3694007,ChIJHytKHKOg4BQRJEAahLexqTg,Agia Varvara,Agia Varvara
1104,Κοτσιάτης,160,80,80,Λευκωσίας,False,35.0128665,33.3499895,ChIJXfhakAAe3hQRWV-sgS8mq-Y,Kotsiatis,Koçyatağı
1105,Νήσου,2179,1086,1093,Λευκωσίας,False,35.022874,33.3947933,ChIJf408cUse3hQR5sC4kmutaRI,Nisou,Dizdarköy
1106,Πέρα Χωριό,2637,1321,1316,Λευκωσίας,False,35.0145628,33.3941585,ChIJbVqEZNIf3hQRkuPAwfMYpT8,Pera Chorio,Pera Chorio
1107,Δάλι,10466,5246,5220,Λευκωσίας,True,35.0195632,33.4192946,ChIJR1-vP5kf3hQRXYhk8d37OYU,Dali,Dali
1108,Λύμπια,2694,1384,1310,Λευκωσίας,False,34.9936909,33.4593569,ChIJk0dHKUQg3hQR3p4XYnTbcfs,Lympia,Limya
1109,Λυθροδόντας,3043,1564,1479,Λευκωσίας,False,34.9506716,33.2950563,ChIJeUSttX6m4BQRPabXkaXuzYo,Lythrodontas,Lythrodontas
1110,Λουρουκίνα,11,6,5,Λευκωσίας,False,35.0175999,33.466379,ChIJ2yNfV0sg3hQR4PG_cIx5amI,Louroukina,Akıncılar
1120,Ποταμιά,505,257,248,Λευκωσίας,False,35.042813,33.4456716,ChIJXYFX2-Yh3hQR1C6c6CBC-Uw,Potamia,Potamia
1121,Άγιος Σωζόμενος,11,10,1,Λευκωσίας,False,35.0646628,33.4398281,ChIJfX30_akY3hQRy4cPwVmnOIA,Agios Sozomenos,Arpalık
1200,Καμπί,97,47,50,Λευκωσίας,False,34.9080634,33.1288812,ChIJzVZYgWOy4BQRwoUE4ku9AW8,Kampi,Kampi
1201,Φαρμακάς,480,239,241,Λευκωσίας,False,34.9112924,33.1343514,ChIJ-bk_kXCy4BQRGQXzl7Au-vc,Farmakas,Farmakas
1202,Απλίκι,87,43,44,Λευκωσίας,False,34.9318078,33.1186243,ChIJZxUDz3ut4BQRWeR3hCyfR4A,Apliki,Apliki
1203,Λαζανιάς,39,33,6,Λευκωσίας,False,34.9487288,33.1742979,ChIJbRUs1Yau4BQRfI911c-N-mM,Lazanias,Lazanias
1204,Γούρρη,196,94,102,Λευκωσίας,False,34.9575257,33.1584404,ChIJ56t8bTKs4BQR3yEzdC9030U,Gourri,Gourri
1205,Φικάρδου,15,7,8,Λευκωσίας,False,34.9591986,33.1712295,ChIJyT25BZ2u4BQRNNKmSlgdxw0,Phicardou,Phicardou
1206,Άγιος Επιφάνιος Ορεινής,412,203,209,Λευκωσίας,False,34.9961577,33.1203351,ChIJ77Xn7Yas4BQR2hnPjL-M-sM,Agios Epifanios,Agios Epifanios
1207,Καλό Χωριό Ορεινής,734,359,375,Λευκωσίας,False,35.0057783,33.1622181,ChIJ84ahLdyr4BQRZpTIu6SjFt0,Kalo Chorio,Kalo Chorio
1208,Μαλούντα,490,251,239,Λευκωσίας,False,35.0363735,33.1827657,ChIJ1a-zTJCp4BQRxQkH4DF5wu8,Malounta,Malounta
1209,Κλήρου,1847,942,905,Λευκωσίας,False,35.0213564,33.1777225,ChIJW709aJ6p4BQRXykhBvjz07w,Klirou,Klirou
1210,Αρεδιού,1225,615,610,Λευκωσίας,False,35.0484051,33.1960743,ChIJwVMxKN2p4BQR6OGBddW5Ai8,Arediou,Arediou
1211,Άγιος Ιωάννης Μαλούντας,472,229,243,Λευκωσίας,False,35.0658877,33.1834671,ChIJi0zWBgwC3hQRw6kYmUlXy94,Agios Ioannis,Agios Ioannis
1212,Αγροκηπιά,509,251,258,Λευκωσίας,False,35.0445032,33.1551245,ChIJfZipdzuq4BQR4GUtXt_I3Yc,Agrokipia,Agrokipia
1213,Μιτσερό,860,409,451,Λευκωσίας,False,35.041331,33.1284236,ChIJ18WXTVSq4BQRl-UYm3WF8wg,Mitsero,Mitsero
