town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,subdistrict,municipality,lat_g,lon_g
Lefkosia,Λευκωσία,Lefkoşa,55014,26520,28494,Λευκωσίας,True,35.1855659,33.38227639999999,ChIJVU1JymcX3hQRpcARA5ykXls,True,,,,,,,
Agios Dometios,Άγιος Δομέτιος,Aydemet,12456,5861,6595,Λευκωσίας,True,35.1727869,33.3290916,ChIJqzUpSaEQ3hQRgmUX_emhREA,True,,,,,,,
Egkomi,Έγκωμη,İncirli,18010,8547,9463,Λευκωσίας,True,35.1538229,33.3169542,ChIJtcdnJb8Q3hQR80ccwpjkIPk,True,,,,,,,
Strovolos,Στροβόλος,Strovolos,67904,32248,35656,Λευκωσίας,True,35.1436629,33.3437909,ChIJ90x2dika3hQRq7-H2HRHAJo,True,,,,,,,
Aglantzia,Αγλαντζιά,Atalassa,20783,9803,10980,Λευκωσίας,True,35.1498034,33.394086,ChIJb0vkuNMZ3hQR_4oSWBdFjX0,True,,,,,,,
Lakatameia,Λακατάμεια,Lakadamya,38345,18674,19671,Λευκωσίας,True,35.1185656,33.3145382,ChIJvfpe0pgb3hQRzVO7VGoRPls,True,,,,,,,
Synoikismos Anthoupolis,Συνοικισμός Ανθούπολης,Anthoupolis,1756,767,989,Λευκωσίας,True,35.1139513,33.2896786,ChIJB3reYWMb3hQRdCFNyi8yBbM,False,,,,,,,
Latsia,Λατσιά,Uluyurt,16774,8132,8642,Λευκωσίας,True,35.1063639,33.3782668,ChIJbbBNlTcZ3hQRO3tmqqvDS3E,True,,,,,,,
Geri,Γέρι,Yeri,8235,4065,4170,Λευκωσίας,True,35.1075703,33.422429,ChIJea8LrGAY3hQRBtiaqfqbnPM,False,,,,,,,
Sia,Σιά,Sha,754,368,386,Λευκωσίας,True,34.9552892,33.3894743,ChIJyaqxJB2h4BQR4xR_8HkompQ,False,,,,,,,
Mathiatis,Μαθιάτης,Matyat,646,326,320,Λευκωσίας,True,34.9630255,33.3366467,ChIJW3plc8Wm4BQRY6HRtjDfXkY,False,,,,,,,
Alampra,Αλάμπρα,Alampra,1585,788,797,Λευκωσίας,True,34.9884546,33.3988433,ChIJvd1cIXmg4BQRSKeaCzuaokk,False,,,,,,,
Agia Varvara ,Αγία Βαρβάρα ,Agia Varvara,2204,1102,1102,Λευκωσίας,True,34.9968356,33.3694007,ChIJHytKHKOg4BQRJEAahLexqTg,False,,,,,,,
Kotsiatis,Κοτσιάτης,Koçyatağı,160,80,80,Λευκωσίας,True,35.0128665,33.3499895,ChIJXfhakAAe3hQRWV-sgS8mq-Y,False,,,,,,,
Nisou,Νήσου,Dizdarköy,2179,1086,1093,Λευκωσίας,True,35.022874,33.3947933,ChIJf408cUse3hQR5sC4kmutaRI,False,,,,,,,
Pera Chorio,Πέρα Χωριό,Pera Chorio,2637,1321,1316,Λευκωσίας,True,35.0145628,33.3941585,ChIJbVqEZNIf3hQRkuPAwfMYpT8,False,,,,,,,
Dali,Δάλι,Dali,10466,5246,5220,Λευκωσίας,True,35.0195632,33.4192946,ChIJR1-vP5kf3hQRXYhk8d37OYU,True,,,,,,,
Lympia,Λύμπια,Limya,2694,1384,1310,Λευκωσίας,True,34.9936909,33.4593569,ChIJk0dHKUQg3hQR3p4XYnTbcfs,False,,,,,,,
Lythrodontas,Λυθροδόντας,Lythrodontas,3043,1564,1479,Λευκωσίας,True,34.9506716,33.2950563,ChIJeUSttX6m4BQRPabXkaXuzYo,False,,,,,,,
Louroukina,Λουρουκίνα,Akıncılar,11,6,5,Λευκωσίας,True,35.0175999,33.466379,ChIJ2yNfV0sg3hQR4PG_cIx5amI,False,,,,,,,
Potamia,Ποταμιά,Potamia,505,257,248,Λευκωσίας,True,35.042813,33.4456716,ChIJXYFX2-Yh3hQR1C6c6CBC-Uw,False,,,,,,,
Agios Sozomenos,Άγιος Σωζόμενος,Arpalık,11,10,1,Λευκωσίας,True,35.0646628,33.4398281,ChIJfX30_akY3hQRy4cPwVmnOIA,False,,,,,,,
Kampi,Καμπί,Kampi,97,47,50,Λευκωσίας,True,34.9080634,33.1288812,ChIJzVZYgWOy4BQRwoUE4ku9AW8,False,,,,,,,
Farmakas,Φαρμακάς,Farmakas,480,239,241,Λευκωσίας,True,34.9112924,33.1343514,ChIJ-bk_kXCy4BQRGQXzl7Au-vc,False,,,,,,,
Apliki,Απλίκι,Apliki,87,43,44,Λευκωσίας,True,34.9318078,33.1186243,ChIJZxUDz3ut4BQRWeR3hCyfR4A,False,,,,,,,
Lazanias,Λαζανιάς,Lazanias,39,33,6,Λευκωσίας,True,34.9487288,33.1742979,ChIJbRUs1Yau4BQRfI911c-N-mM,False,,,,,,,
Gourri,Γούρρη,Gourri,196,94,102,Λευκωσίας,True,34.9575257,33.1584404,ChIJ56t8bTKs4BQR3yEzdC9030U,False,,,,,,,
Fikardou,Φικάρδου,Phicardou,15,7,8,Λευκωσίας,True,34.9591986,33.1712295,ChIJyT25BZ2u4BQRNNKmSlgdxw0,False,,,,,,,
Agios Epifanios Oreinis,Άγιος Επιφάνιος Ορεινής,Agios Epifanios,412,203,209,Λευκωσίας,True,34.9961577,33.1203351,ChIJ77Xn7Yas4BQR2hnPjL-M-sM,False,,,,,,,
Kalo Chorio Oreinis,Καλό Χωριό Ορεινής,Kalo Chorio,734,359,375,Λευκωσίας,True,35.0057783,33.1622181,ChIJ84ahLdyr4BQRZpTIu6SjFt0,False,,,,,,,
Malounta,Μαλούντα,Malounta,490,251,239,Λευκωσίας,True,35.0363735,33.1827657,ChIJ1a-zTJCp4BQRxQkH4DF5wu8,False,,,,,,,
Klirou,Κλήρου,Klirou,1847,942,905,Λευκωσίας,True,35.0213564,33.1777225,ChIJW709aJ6p4BQRXykhBvjz07w,False,,,,,,,
Arediou,Αρεδιού,Arediou,1225,615,610,Λευκωσίας,True,35.0484051,33.1960743,ChIJwVMxKN2p4BQR6OGBddW5Ai8,False,,,,,,,
Agios Ioannis Malountas,Άγιος Ιωάννης Μαλούντας,Agios Ioannis,472,229,243,Λευκωσίας,True,35.0658877,33.1834671,ChIJi0zWBgwC3hQRw6kYmUlXy94,False,,,,,,,
Agrokipia,Αγροκηπιά,Agrokipia,509,251,258,Λευκωσίας,True,35.0445032,33.1551245,ChIJfZipdzuq4BQR4GUtXt_I3Yc,False,,,,,,,
Mitsero,Μιτσερό,Mitsero,860,409,451,Λευκωσίας,True,35.041331,33.1284236,ChIJ18WXTVSq4BQRl-UYm3WF8wg,False,,,,,,,
