town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality
DİPKARPAZ,2016,1007,1009,1935,968,967,İskele,Yeni,Dipkarpaz
GEMİKONAĞI,2075,1318,757,1498,854,644,Güzelyurt,Lefke,Lefke
GÜZELYURT,7251,3619,3632,7627,3885,3742,Güzelyurt,Güzelyurt,Güzelyurt
LAPTA,5748,2959,2789,5658,3151,2507,Girne,Girne,Lapta
DİKMEN,3969,2131,1838,2605,1464,1141,Girne,Girne,Dikmen
ALSANCAK,5595,2948,2647,4638,2577,2061,Girne,Girne,Alsancak
GİRNE,21319,11403,9916,18744,10594,8150,Girne,Girne,Girne
TATLISU,1120,579,541,903,461,442,Gazimağusa,Geçitkale,Tatlısu
GAZİMAĞUSA,37642,20301,17341,33001,17897,15104,Gazimağusa,Gazimağusa,Gazimağusa
DEĞİRMENLİK,3284,1778,1506,3128,1685,1443,Lefkoşa,Değirmenlik,Değimenlik
GÖNYELİ,5374,2725,2649,3478,1808,1670,Lefkoşa,Lefkoşa,Gönyeli
LEFKOŞA,51836,27102,24734,49868,26848,23020,Lefkoşa,Lefkoşa,Lefkoşa
İSKELE,3058,1537,1521,2610,1405,1205,İskele,İskele,İskele
HAMİTKÖY,5338,2773,2565,2898,1567,1331,Lefkoşa,Lefkoşa,Lefkoşa
HASPOLAT,4204,2385,1819,3380,2168,1212,Lefkoşa,Lefkoşa,Lefkoşa
AKINCILAR,390,199,191,462,231,231,Lefkoşa,Lefkoşa,Akıncılar
ALAYKÖY,2777,1445,1332,2539,1348,1191,Lefkoşa,Lefkoşa,Alayköy
TÜRKELİ,154,96,58,154,98,56,Lefkoşa,Lefkoşa,Alayköy
YILMAZKÖY,953,533,420,785,435,350,Lefkoşa,Lefkoşa,Alayköy
GÖNYELİ,11671,6241,5430,8708,4711,3997,Lefkoşa,Lefkoşa,Gönyeli
KANLIKÖY,232,129,103,207,123,84,Lefkoşa,Lefkoşa,Gönyeli
BALIKESİR,860,429,431,1074,625,449,Lefkoşa,Değirmenlik,Değimenlik
BEYKÖY,105,42,63,88,35,53,Lefkoşa,Değirmenlik,Değimenlik
CİHANGİR,961,475,486,929,495,434,Lefkoşa,Değirmenlik,Değimenlik
ÇUKUROVA,208,100,108,187,94,93,Lefkoşa,Değirmenlik,Değimenlik
DEMİRHAN,530,267,263,454,220,234,Lefkoşa,Değirmenlik,Değimenlik
DİLEKKAYA,619,305,314,590,290,300,Lefkoşa,Değirmenlik,Değimenlik
DÜZOVA,661,332,329,624,319,305,Lefkoşa,Değirmenlik,Değimenlik
ERDEMLİ,169,86,83,207,120,87,Lefkoşa,Değirmenlik,Değimenlik
GAZİKÖY,713,357,356,679,342,337,Lefkoşa,Değirmenlik,Değimenlik
GÖKHAN,202,117,85,229,128,101,Lefkoşa,Değirmenlik,Değimenlik
KALAVAÇ,255,122,133,248,119,129,Lefkoşa,Değirmenlik,Değimenlik
KIRIKKALE,390,184,206,398,189,209,Lefkoşa,Değirmenlik,Değimenlik
KIRKLAR,384,246,138,335,200,135,Lefkoşa,Değirmenlik,Değimenlik
MERİÇ,494,246,248,522,271,251,Lefkoşa,Değirmenlik,Değimenlik
MİNARELİKÖY,1334,755,579,1766,1255,511,Lefkoşa,Değirmenlik,Değimenlik
TAŞOCAKLARI,0,0,0,128,91,37,Lefkoşa,Değirmenlik,Değimenlik
YENİCEKÖY,399,201,198,401,208,193,Lefkoşa,Değirmenlik,Değimenlik
YİĞİTLER,327,168,159,310,164,146,Lefkoşa,Değirmenlik,Değimenlik
MARAŞ,226,125,101,503,317,186,Gazimağusa,Gazimağusa,Gazimağusa
MUTLUYAKA,407,205,202,404,218,186,Gazimağusa,Gazimağusa,Gazimağusa
TUZLA,2645,1394,1251,1877,1012,865,Gazimağusa,Gazimağusa,Gazimağusa
YENİ BOĞAZİÇİ,3347,1712,1635,2802,1524,1278,Gazimağusa,Gazimağusa,Yeni
AKOVA,704,353,351,662,319,343,Gazimağusa,Gazimağusa,Yeni
ALANİÇİ,860,436,424,863,461,402,Gazimağusa,Gazimağusa,Yeni
ATLILAR,46,22,24,24,14,10,Gazimağusa,Gazimağusa,Yeni
MORMENEKŞE,1033,512,521,923,472,451,Gazimağusa,Gazimağusa,Yeni
MURATAĞA,51,27,24,34,18,16,Gazimağusa,Gazimağusa,Yeni
SANDALLAR,28,16,12,28,15,13,Gazimağusa,Gazimağusa,Yeni
YILDIRIM,549,288,261,542,280,262,Gazimağusa,Gazimağusa,Yeni
