town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Di̇pkarpaz,2016,1007,1009,1935,968,967,İskele,Yeni,Dipkarpaz,35.6176824,34.4087307,ChIJFdx3t2tn3xQRInHdNFtCOCg
Gemi̇konağı,2075,1318,757,1498,854,644,Güzelyurt,Lefke,Lefke,35.142762,32.8112705,ChIJw1gDZOdY5xQRzgnyO-yf0b4
Güzelyurt,7251,3619,3632,7627,3885,3742,Güzelyurt,Güzelyurt,Güzelyurt,35.2123165,32.9775675,ChIJfz7P_1H53RQRmbROZQ0T7bg
Lapta,5748,2959,2789,5658,3151,2507,Girne,Girne,Lapta,35.3364082,33.1632665,ChIJSfTuTocM3hQRNbYv5mkqRUM
Di̇kmen,3969,2131,1838,2605,1464,1141,Girne,Girne,Dikmen,35.266918,33.3277003,ChIJf0s8-cAT3hQRY6tDs7XxiJg
Alsancak,5595,2948,2647,4638,2577,2061,Girne,Girne,Alsancak,35.3420796,33.2082318,ChIJfZOGfvIM3hQRkYt4GUYmTbo
Gi̇rne,21319,11403,9916,18744,10594,8150,Girne,Girne,Girne,35.299194,33.2363246,ChIJG4zmlxR05xQR7lc0vj1h-YQ
Tatlısu,1120,579,541,903,461,442,Gazimağusa,Geçitkale,Tatlısu,35.3785077,33.7629465,ChIJR2udT_RS3hQRsTyTpE9AY8M
Gazi̇mağusa,37642,20301,17341,33001,17897,15104,Gazimağusa,Gazimağusa,Gazimağusa,35.1149116,33.919245,ChIJPRZM2kLI3xQRh87TpcUD2yk
Deği̇rmenli̇k,3284,1778,1506,3128,1685,1443,Lefkoşa,Değirmenlik,Değimenlik,35.2553647,33.4719832,ChIJlaSb_gc_3hQR-DikEPtnxRA
Gönyeli̇,5374,2725,2649,3478,1808,1670,Lefkoşa,Lefkoşa,Gönyeli,35.2133871,33.2924859,ChIJ-QldKQAR3hQR8jvZU1MIRRg
Lefkoşa,51836,27102,24734,49868,26848,23020,Lefkoşa,Lefkoşa,Lefkoşa,35.1855659,33.38227639999999,ChIJVU1JymcX3hQRpcARA5ykXls
İskele,3058,1537,1521,2610,1405,1205,İskele,İskele,İskele,35.297229,33.8969328,ChIJtbgLUJGx3xQRsvnB1Roi2nw
Hami̇tköy,5338,2773,2565,2898,1567,1331,Lefkoşa,Lefkoşa,Lefkoşa,35.2215191,33.3766669,ChIJC26FTOsW3hQRKlGoqkbKgVU
Haspolat,4204,2385,1819,3380,2168,1212,Lefkoşa,Lefkoşa,Lefkoşa,35.2107245,33.4271403,ChIJ0WZmiRQW3hQRWJCZ8IphTlo
Akıncılar,390,199,191,462,231,231,Lefkoşa,Lefkoşa,Akıncılar,35.0175999,33.466379,ChIJ2yNfV0sg3hQR4PG_cIx5amI
Alayköy,2777,1445,1332,2539,1348,1191,Lefkoşa,Lefkoşa,Alayköy,35.2010828,33.2531764,ChIJWxGOiUsF3hQR8FDvFXTwInM
Türkeli̇,154,96,58,154,98,56,Lefkoşa,Lefkoşa,Alayköy,35.2120962,33.1857517,ChIJN1DKMl8P3hQRyX7AxwWQ9Gc
Yılmazköy,953,533,420,785,435,350,Lefkoşa,Lefkoşa,Alayköy,35.2288098,33.1632665,ChIJiVnxGq0I3hQR6mQTC1bmECs
Gönyeli̇,11671,6241,5430,8708,4711,3997,Lefkoşa,Lefkoşa,Gönyeli,35.2133871,33.2924859,ChIJ-QldKQAR3hQR8jvZU1MIRRg
Kanlıköy,232,129,103,207,123,84,Lefkoşa,Lefkoşa,Gönyeli,35.2171783,33.2644093,ChIJcXiUhikQ3hQRf7Poo-iccJ8
Balıkesi̇r,860,429,431,1074,625,449,Lefkoşa,Değirmenlik,Değimenlik,35.17687950000001,33.4887939,ChIJfW_bJoU-3hQRpOWN0-hwhMg
Beyköy,105,42,63,88,35,53,Lefkoşa,Değirmenlik,Değimenlik,35.23991,33.509803,ChIJM-HbHR4_3hQRAY3JKrBLboU
Ci̇hangi̇r,961,475,486,929,495,434,Lefkoşa,Değirmenlik,Değimenlik,35.2283093,33.5196057,ChIJ59NDwcQ-3hQR8t_KdN9VwyM
Çukurova,208,100,108,187,94,93,Lefkoşa,Değirmenlik,Değimenlik,35.217816,33.5532073,ChIJt0_-qOY43hQR8zS--ctKZNw
Demi̇rhan,530,267,263,454,220,234,Lefkoşa,Değirmenlik,Değimenlik,35.20636200000001,33.48038890000001,ChIJ07rLVGc-3hQRLlt4hMisB50
Di̇lekkaya,619,305,314,590,290,300,Lefkoşa,Değirmenlik,Değimenlik,35.1133417,33.5672045,ChIJ5yl9NyQ73hQRbXSiiUU8kII
