town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Di̇pkarpaz,2016,1007,1009,1935,968,967,İskele,Yeni,Dipkarpaz,35.5977395,34.3806708,ChIJFdx3t2tn3xQRInHdNFtCOCg,Ριζοκάρπασο,35.6176824,34.4087307
Gemi̇konağı,2075,1318,757,1498,854,644,Güzelyurt,Lefke,Lefke,35.1388366,32.8346117,ChIJw1gDZOdY5xQRzgnyO-yf0b4,Καραβοστάσι,35.142762,32.8112705
Güzelyurt,7251,3619,3632,7627,3885,3742,Güzelyurt,Güzelyurt,Güzelyurt,35.1985518,32.9934993,ChIJfz7P_1H53RQRmbROZQ0T7bg,Μόρφου,35.2123165,32.9775675
Lapta,5748,2959,2789,5658,3151,2507,Girne,Girne,Lapta,35.3409121,33.175342,ChIJSfTuTocM3hQRNbYv5mkqRUM,Λάπηθος,35.3364082,33.1632665
Di̇kmen,3969,2131,1838,2605,1464,1141,Girne,Girne,Dikmen,35.2677,33.3252,ChIJf0s8-cAT3hQRY6tDs7XxiJg,Δίκωμο,35.266918,33.3277003
Alsancak,5595,2948,2647,4638,2577,2061,Girne,Girne,Alsancak,35.3431715,33.1956124,ChIJfZOGfvIM3hQRkYt4GUYmTbo,Καραβάς,35.3420796,33.2082318
Gi̇rne,21319,11403,9916,18744,10594,8150,Girne,Girne,Girne,35.3351,33.3193,ChIJKS2WH74N3hQRjxHlC6st0tM,Κερύνεια,35.299194,33.2363246
Tatlısu,1120,579,541,903,461,442,Gazimağusa,Geçitkale,Tatlısu,35.3732414,33.7535628,ChIJR2udT_RS3hQRsTyTpE9AY8M,Ακανθού,35.3785077,33.7629465
Gazi̇mağusa,37642,20301,17341,33001,17897,15104,Gazimağusa,Gazimağusa,Gazimağusa,35.1245436,33.9325419,ChIJPRZM2kLI3xQRh87TpcUD2yk,Αμμόχωστος,35.1149116,33.919245
Deği̇rmenli̇k,3284,1778,1506,3128,1685,1443,Lefkoşa,Değirmenlik,Değimenlik,35.2475348,33.4812843,ChIJlaSb_gc_3hQR-DikEPtnxRA,Κυθρέα,35.2553647,33.4719832
Gönyeli̇,17045,8966,8079,12186,6519,5667,Lefkoşa,Lefkoşa,Gönyeli,35.2145138,33.302562,ChIJ-QldKQAR3hQR8jvZU1MIRRg,Κιόνελι,35.2133871,33.2924859
Lefkoşa,51836,27102,24734,49868,26848,23020,Lefkoşa,Lefkoşa,Lefkoşa,35.1783,33.3628,ChIJVU1JymcX3hQRpcARA5ykXls,Λευκωσία,35.1855659,33.38227639999999
İskele,3058,1537,1521,2610,1405,1205,İskele,İskele,İskele,35.2863679,33.8919192,ChIJtbgLUJGx3xQRsvnB1Roi2nw,Τρίκωμο,35.297229,33.8969328
Hami̇tköy,5338,2773,2565,2898,1567,1331,Lefkoşa,Lefkoşa,Lefkoşa,35.2151704,33.3786657,ChIJC26FTOsW3hQRKlGoqkbKgVU,Μάνδρες,35.2215191,33.3766669
Haspolat,4204,2385,1819,3380,2168,1212,Lefkoşa,Lefkoşa,Lefkoşa,35.2063724,33.4200196,ChIJ0WZmiRQW3hQRWJCZ8IphTlo,Μιά Μηλιά,35.2107245,33.4271403
Akıncılar,390,199,191,462,231,231,Lefkoşa,Lefkoşa,Akıncılar,35.011537,33.4643102,ChIJ2yNfV0sg3hQR4PG_cIx5amI,Λουρουκίνα,35.0175999,33.466379
Alayköy,2777,1445,1332,2539,1348,1191,Lefkoşa,Lefkoşa,Alayköy,35.1806595,33.2533088,ChIJWxGOiUsF3hQR8FDvFXTwInM,Γερόλακκος,35.2010828,33.2531764
Türkeli̇,154,96,58,154,98,56,Lefkoşa,Lefkoşa,Alayköy,35.2190573,33.1844303,ChIJN1DKMl8P3hQRyX7AxwWQ9Gc,'Αγιος Βασίλειος,35.2120962,33.1857517
Yılmazköy,953,533,420,785,435,350,Lefkoşa,Lefkoşa,Alayköy,35.2304802,33.1652475,ChIJiVnxGq0I3hQR6mQTC1bmECs,Σκυλλούρα,35.2288098,33.1632665
Kanlıköy,232,129,103,207,123,84,Lefkoşa,Lefkoşa,Gönyeli,35.2184284,33.2614926,ChIJcXiUhikQ3hQRf7Poo-iccJ8,Κανλί,35.2171783,33.2644093
Balıkesi̇r,860,429,431,1074,625,449,Lefkoşa,Değirmenlik,Değimenlik,35.2084883,33.4934366,ChIJfW_bJoU-3hQRpOWN0-hwhMg,Παλαίκυθρο,35.17687950000001,33.4887939
Beyköy,105,42,63,88,35,53,Lefkoşa,Değirmenlik,Değimenlik,35.2365979,33.5010085,ChIJM-HbHR4_3hQRAY3JKrBLboU,Μπέϊκιοϊ,35.23991,33.509803
Ci̇hangi̇r,961,475,486,929,495,434,Lefkoşa,Değirmenlik,Değimenlik,35.2274826,33.5134937,ChIJ59NDwcQ-3hQR8t_KdN9VwyM,Επιχό,35.2283093,33.5196057
Çukurova,208,100,108,187,94,93,Lefkoşa,Değirmenlik,Değimenlik,35.2245314,33.5557493,ChIJt0_-qOY43hQR8zS--ctKZNw,Κουρού Μοναστήρι,35.217816,33.5532073
Demi̇rhan,530,267,263,454,220,234,Lefkoşa,Değirmenlik,Değimenlik,35.2233822,33.4793482,ChIJ07rLVGc-3hQRLlt4hMisB50,Τραχώνι,35.20636200000001,33.48038890000001
Di̇lekkaya,619,305,314,590,290,300,Lefkoşa,Değirmenlik,Değimenlik,35.1108692,33.5662154,ChIJ5yl9NyQ73hQRbXSiiUU8kII,Αγιά,35.1133417,33.5672045
Düzova,661,332,329,624,319,305,Lefkoşa,Değirmenlik,Değimenlik,35.2149111,33.5266241,ChIJd5SzWcw-3hQRZNO7S2SFftY,'Εξω Μετόχι,35.2019719,33.5336078
Erdemli̇,169,86,83,207,120,87,Lefkoşa,Değirmenlik,Değimenlik,35.084553,33.6085847,ChIJU_02NFMl3hQRREaPEMujC_A,Τρεμετουσιά,35.0798093,33.6119814
Gazi̇köy,713,357,356,679,342,337,Lefkoşa,Değirmenlik,Değimenlik,35.1581193,33.5863515,ChIJ2-w-uzA63hQR74hNpr9M35Q,Αφάντεια,35.1489203,33.5784007
Gökhan,202,117,85,229,128,101,Lefkoşa,Değirmenlik,Değimenlik,35.2313682,33.4955565,ChIJ-aMg1uQ-3hQR_evJEFjldp4,Βώνη,35.2073956,33.5084026
Kalavaç,255,122,133,248,119,129,Lefkoşa,Değirmenlik,Değimenlik,35.2577589,33.5486665,ChIJw9LwmqE43hQRVCDyyfoiWvY,Καλυβάκια,35.2570367,33.544808
Kırıkkale,390,184,206,398,189,209,Lefkoşa,Değirmenlik,Değimenlik,35.0773102,33.5840897,ChIJQ7t3sDwl3hQRa0Wi8RX92a8,Μελούσεια,35.0770318,33.5895956
Kırklar,384,246,138,335,200,135,Lefkoşa,Değirmenlik,Değimenlik,35.1345211,33.5124917,ChIJa0xaksk83hQR8sIIifpLULE,Τύμβου,35.13081,33.5112035
Meri̇ç,494,246,248,522,271,251,Lefkoşa,Değirmenlik,Değimenlik,35.1730011,33.5441836,ChIJr3Wloeg73hQRYgQ9kB1WbOs,Μόρα,35.1691793,33.544808
Mi̇nareli̇köy,1334,755,579,1766,1255,511,Lefkoşa,Değirmenlik,Değimenlik,35.2346275,33.4766108,ChIJ28mhJVo-3hQRTqPXqS3FK4A,Νέο Χωριό,35.2164823,33.4635768
