town,district,lat,lon
Λευκωσία,Λευκωσίας,35.1855659,33.38227639999999
Άγιος Δομέτιος,Λευκωσίας,35.1727869,33.3290916
Έγκωμη,Λευκωσίας,35.1538229,33.3169542
Στροβόλος,Λευκωσίας,35.1436629,33.3437909
Αγλαντζιά,Λευκωσίας,35.1498034,33.394086
Λακατάμεια,Λευκωσίας,35.1185656,33.3145382
Συνοικισμός Ανθούπολης,Λευκωσίας,35.1139513,33.2896786
Λατσιά,Λευκωσίας,35.1063639,33.3782668
Γέρι,Λευκωσίας,35.1075703,33.422429
Σιά,Λευκωσίας,34.9552892,33.3894743
Μαθιάτης,Λευκωσίας,34.9630255,33.3366467
Αλάμπρα,Λευκωσίας,34.9884546,33.3988433
Αγία Βαρβάρα Λευκωσίας,Λευκωσίας,34.9968356,33.3694007
Κοτσιάτης,Λευκωσίας,35.0128665,33.3499895
Νήσου,Λευκωσίας,35.022874,33.3947933
Πέρα Χωριό,Λευκωσίας,35.0145628,33.3941585
Δάλι,Λευκωσίας,35.0195632,33.4192946
Λύμπια,Λευκωσίας,34.9936909,33.4593569
Λυθροδόντας,Λευκωσίας,34.9506716,33.2950563
Λουρουκίνα,Λευκωσίας,35.0175999,33.466379
Ποταμιά,Λευκωσίας,35.042813,33.4456716
Άγιος Σωζόμενος,Λευκωσίας,35.0646628,33.4398281
Καμπί,Λευκωσίας,34.9080634,33.1288812
Φαρμακάς,Λευκωσίας,34.9112924,33.1343514
Απλίκι,Λευκωσίας,34.9318078,33.1186243
Λαζανιάς,Λευκωσίας,34.9487288,33.1742979
Γούρρη,Λευκωσίας,34.9575257,33.1584404
Φικάρδου,Λευκωσίας,34.9591986,33.1712295
Άγιος Επιφάνιος Ορεινής,Λευκωσίας,34.9961577,33.1203351
Καλό Χωριό Ορεινής,Λευκωσίας,35.0057783,33.1622181
Μαλούντα,Λευκωσίας,35.0363735,33.1827657
Κλήρου,Λευκωσίας,35.0213564,33.1777225
Αρεδιού,Λευκωσίας,35.0484051,33.1960743
Άγιος Ιωάννης Μαλούντας,Λευκωσίας,35.0658877,33.1834671
Αγροκηπιά,Λευκωσίας,35.0445032,33.1551245
Μιτσερό,Λευκωσίας,35.041331,33.1284236
Καπέδες,Λευκωσίας,34.9773458,33.2551542
Καταλιόντας,Λευκωσίας,34.9947436,33.3080301
Αναλιόντας,Λευκωσίας,35.0077483,33.2900824
Καμπιά,Λευκωσίας,35.007253,33.25644279999999
Μαργί,Λευκωσίας,35.0239031,33.3258557
Τσέρι,Λευκωσίας,35.0707866,33.3247626
Πολιτικό,Λευκωσίας,35.0281829,33.24271170000001
Πέρα,Λευκωσίας,35.0328461,33.2554262
Επισκοπειό,Λευκωσίας,35.0406022,33.2443993
Ψιμολόφου,Λευκωσίας,35.0608691,33.2597062
Εργάτες,Λευκωσίας,35.0541055,33.2436859
Ανάγεια,Λευκωσίας,35.074869,33.2516708
Πάνω Δευτερά,Λευκωσίας,35.0817107,33.2672173
Κάτω Δευτερά,Λευκωσίας,35.08804,33.2784486
Άγιοι Τριμιθιάς,Λευκωσίας,35.1144181,33.2112256
Παλαιομέτοχο,Λευκωσίας,35.1268061,33.1921206
Δένεια,Λευκωσίας,35.166721,33.1442206
Κοκκινοτριμιθιά,Λευκωσίας,35.1527991,33.1999632
Μάμμαρη,Λευκωσίας,35.1756676,33.2048502
Παλαιχώρι Μόρφου,Λευκωσίας,34.922316,33.0920661
Ασκάς,Λευκωσίας,34.9294664,33.0777752
Άλωνα,Λευκωσίας,34.9343103,33.0396346
Φτερικούδι,Λευκωσίας,34.94257,33.069487
Πολύστυπος,Λευκωσίας,34.9396288,33.0177915
Λαγουδερά,Λευκωσίας,34.9621334,33.0103115
Σαράντι,Λευκωσίας,34.96905050000001,32.9997237
Λιβάδια Λευκωσίας,Λευκωσίας,34.9461332,33.0230728
Αληθινού,Λευκωσίας,34.9476497,33.0286702
Πλατανιστάσα,Λευκωσίας,34.9472628,33.0454434
Παλαιχώρι Ορεινής,Λευκωσίας,35.0057783,33.1622181
Ξυλιάτος,Λευκωσίας,35.0295134,33.0435849
Άγιος Γεώργιος Καυκάλλου,Λευκωσίας,35.037046,33.0124773
Νικητάρι,Λευκωσίας,35.0693398,32.9917153
Βυζακιά,Λευκωσίας,35.0770303,33.0148195
Αγία Μαρίνα Ξυλιάτου,Λευκωσίας,35.04922380000001,33.0566598
Άγιοι Ηλιόφωτοι,Λευκωσίας,35.059456,33.104036
Κάτω Μονή,Λευκωσίας,35.0612836,33.0932799
Ορούντα,Λευκωσίας,35.1028182,33.0941709
Πάνω Κουτραφάς,Λευκωσίας,35.0854271,32.9828841
Κάτω Κουτραφάς,Λευκωσίας,35.1016736,32.9779895
Ποτάμι,Λευκωσίας,35.1046562,33.028789
Πάνω Ζώδεια,Λευκωσίας,35.1386371,32.9860159
Ακάκι,Λευκωσίας,35.1337357,33.1288417
Περιστερώνα Λευκωσίας,Λευκωσίας,35.1305014,33.0798116
Αστρομερίτης,Λευκωσίας,35.139698,33.0369494
Μένικο,Λευκωσίας,35.1112587,33.146156
Σπήλια,Λευκωσίας,34.9666909,32.9549718
Αγία Ειρήνη Λευκωσίας,Λευκωσίας,34.9814562,32.9698159
Καννάβια,Λευκωσίας,34.9830613,32.9771541
Κακοπετριά,Λευκωσίας,34.9899859,32.9036838
Άγιος Θεόδωρος Σολέας,Λευκωσίας,35.042596,32.9284861
Γαλάτα,Λευκωσίας,34.997626,32.8986815
Σιναόρος,Λευκωσίας,35.0099216,32.8981879
Καλιάνα,Λευκωσίας,35.012206,32.8826138
Τεμβριά,Λευκωσίας,35.0280035,32.89178
Κοράκου,Λευκωσίας,35.0403045,32.8857482
Ευρύχου,Λευκωσίας,35.0427354,32.9012972
Φλάσου,Λευκωσίας,35.060795,32.8874946
Ληνού,Λευκωσίας,35.0729964,32.8919527
Κατύδατα,Λευκωσίας,35.0817895,32.8874154
Σκουριώτισσα (Φουκάσα),Λευκωσίας,35.0916578,32.885038
Πεδουλάς,Λευκωσίας,34.9686392,32.827564
Μυλικούρι,Λευκωσίας,34.9611506,32.7519984
Μουτουλλάς,Λευκωσίας,34.983339,32.8245664
Οίκος,Λευκωσίας,35.0002913,32.8299929
Καλοπαναγιώτης,Λευκωσίας,34.9916085,32.8282406
Γερακιές,Λευκωσίας,35.0003791,32.8051677
Τσακίστρα,Λευκωσίας,35.0246263,32.7225721
Κάμπος,Λευκωσίας,35.0392022,32.7324144
Πάνω Πύργος,Λευκωσίας,35.1556574,32.6829413
Κάτω Πύργος,Λευκωσίας,35.1813827,32.6856272
Πηγένια,Λευκωσίας,35.1710158,32.656798
Παχύαμμος,Λευκωσίας,35.1707749,32.584818
Μανσούρα,Λευκωσίας,35.1869582,32.6360673
Μοσφίλι,Λευκωσίας,35.1810885,32.6311244
Αγία Νάπα,Αμμοχώστου,34.9887366,34.0002782
Παραλίμνι,Αμμοχώστου,35.0375882,33.9814728
Δερύνεια,Αμμοχώστου,35.062854,33.960628
Σωτήρα Αμμοχώστου,Αμμοχώστου,35.0284699,33.9513191
Λιοπέτρι,Αμμοχώστου,35.0096685,33.8929049
Φρέναρος,Αμμοχώστου,35.0432562,33.924892
Αυγόρου,Αμμοχώστου,35.0370977,33.8401219
Άχνα,Αμμοχώστου,35.0565168,33.7797054
Αχερίτου,Αμμοχώστου,35.0970715,33.8522923
Λάρνακα,Λάρνακας,34.9182222,33.6200625
Αραδίππου,Λάρνακας,34.9521888,33.5908529
Λιβάδια,Λάρνακας,34.9490765,33.6275272
