town,district,lat,lon,gm_id
ABDİ ÇAVUŞ,Lefkoşa,,,
AKKAVUK,Lefkoşa,,,
ARABAHMET,Lefkoşa,,,
AYDEMET,Lefkoşa,35.1727869,33.3290916,ChIJqzUpSaEQ3hQRgmUX_emhREA
AYYILDIZ,Lefkoşa,,,
ÇAĞLAYAN,Lefkoşa,,,
GÖÇMENKÖY,Lefkoşa,,,
HAMİTKÖY,Lefkoşa,35.2215191,33.3766669,ChIJC26FTOsW3hQRKlGoqkbKgVU
HASPOLAT,Lefkoşa,35.2107245,33.4271403,ChIJ0WZmiRQW3hQRWJCZ8IphTlo
HAYDARPAŞA,Lefkoşa,,,
İBRAHİMPAŞA,Lefkoşa,,,
İPLİKPAZARI,Lefkoşa,,,
KAFESLİ,Lefkoşa,,,
KARAMANZADE,Lefkoşa,,,
KIZILAY,Lefkoşa,,,
KÖŞKLÜÇİFTLİK,Lefkoşa,,,
KUMSAL,Lefkoşa,,,
KÜÇÜK KAYMAKLI,Lefkoşa,35.2003971,33.3738621,ChIJA1Ecy-MW3hQRlOLTeOLYcOM
MAHMUTPAŞA,Lefkoşa,,,
MARMARA,Lefkoşa,,,
ORTAKÖY,Lefkoşa,,,
SELİMİYE,Lefkoşa,,,
TAŞKINKÖY,Lefkoşa,,,
YENİCAMİ,Lefkoşa,,,
YENİŞEHİR,Lefkoşa,,,
AKINCILAR,Lefkoşa,35.0175999,33.466379,ChIJ2yNfV0sg3hQR4PG_cIx5amI
ALAYKÖY,Lefkoşa,35.2010828,33.2531764,ChIJWxGOiUsF3hQR8FDvFXTwInM
TÜRKELİ,Lefkoşa,35.2120962,33.1857517,ChIJN1DKMl8P3hQRyX7AxwWQ9Gc
YILMAZKÖY,Lefkoşa,35.2288098,33.1632665,ChIJiVnxGq0I3hQR6mQTC1bmECs
GÖNYELİ,Lefkoşa,35.2133871,33.2924859,ChIJ-QldKQAR3hQR8jvZU1MIRRg
KANLIKÖY,Lefkoşa,35.2171783,33.2644093,ChIJcXiUhikQ3hQRf7Poo-iccJ8
YENİKENT,Lefkoşa,,,
BAHÇELİEVLER,Lefkoşa,,,
BALIKESİR,Lefkoşa,35.17687950000001,33.4887939,ChIJfW_bJoU-3hQRpOWN0-hwhMg
BAŞPINAR,Lefkoşa,,,
BEYKÖY,Lefkoşa,35.23991,33.509803,ChIJM-HbHR4_3hQRAY3JKrBLboU
CAMİALTI,Lefkoşa,,,
CİHANGİR,Lefkoşa,35.2283093,33.5196057,ChIJ59NDwcQ-3hQR8t_KdN9VwyM
ÇUKUROVA,Lefkoşa,35.217816,33.5532073,ChIJt0_-qOY43hQR8zS--ctKZNw
DEMİRHAN,Lefkoşa,35.20636200000001,33.48038890000001,ChIJ07rLVGc-3hQRLlt4hMisB50
DİLEKKAYA,Lefkoşa,35.1133417,33.5672045,ChIJ5yl9NyQ73hQRbXSiiUU8kII
DÜZOVA,Lefkoşa,35.2019719,33.5336078,ChIJd5SzWcw-3hQRZNO7S2SFftY
ERDEMLİ,Lefkoşa,35.0798093,33.6119814,ChIJU_02NFMl3hQRREaPEMujC_A
GAZİKÖY,Lefkoşa,35.1489203,33.5784007,ChIJ2-w-uzA63hQR74hNpr9M35Q
GÖKHAN,Lefkoşa,35.2073956,33.5084026,ChIJ-aMg1uQ-3hQR_evJEFjldp4
KALAVAÇ,Lefkoşa,35.2570367,33.544808,ChIJw9LwmqE43hQRVCDyyfoiWvY
KIRIKKALE,Lefkoşa,,,
KIRKLAR,Lefkoşa,35.13081,33.5112035,ChIJa0xaksk83hQR8sIIifpLULE
MEHMETÇİK,Lefkoşa,35.415337,34.0752783,ChIJz4xBRhkK3xQRmThc7yJ3-xA
MERİÇ,Lefkoşa,35.1691793,33.544808,ChIJr3Wloeg73hQRYgQ9kB1WbOs
MİNARELİKÖY,Lefkoşa,35.2164823,33.4635768,ChIJ28mhJVo-3hQRTqPXqS3FK4A
SARAY,Lefkoşa,,,
TAŞOCAKLARI,Lefkoşa,,,
TEPEBAŞI,Lefkoşa,35.2964917,33.0226174,ChIJh89DvULi3RQRdBBYCLBD6JM
YENİCEKÖY,Lefkoşa,35.232456,33.5532073,ChIJv890F-o43hQR6OX22CGhtiM
YİĞİTLER,Lefkoşa,35.07281,33.63436190000001,ChIJwxQz5A8w3hQRoV5TxQSKKtk
ANADOLU,Gazimağusa,,,
BAYKAL,Gazimağusa,,,
CANBOLAT,Gazimağusa,,,
ÇANAKKALE,Gazimağusa,,,
DUMLUPINAR,Gazimağusa,,,
HARİKA,Gazimağusa,,,
KAPALI MARAŞ,Gazimağusa,,,
KARAKOL,Gazimağusa,,,
LALA MUSTAFA PAŞA,Gazimağusa,,,
MUTLUYAKA,Gazimağusa,35.1626143,33.8299639,ChIJgzObm3213xQRhcNFZ3Y4wgU
NAMIK KEMAL,Gazimağusa,,,
PERTEV PAŞA,Gazimağusa,,,
PİYALE PAŞA,Gazimağusa,,,
SAKARYA,Gazimağusa,,,
SURİÇİ,Gazimağusa,,,
TUZLA,Gazimağusa,35.1613671,33.8801952,ChIJTyk1qP213xQRe2YltPw6dIE
ZAFER,Gazimağusa,,,
YENİ BOĞAZİÇİ,Gazimağusa,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
AKOVA,Gazimağusa,35.27723720000001,33.7908763,ChIJU-OytVBL3hQRMc_Wi2P7kCI
ALANİÇİ,Gazimağusa,35.2063472,33.7685332,ChIJ3_fervFK3hQRMBvuklWgwE0
ATLILAR,Gazimağusa,35.2128887,33.8327552,ChIJxxEush213xQRzCvoaesLzJA
MORMENEKŞE,Gazimağusa,35.1976484,33.8578735,ChIJAyL-5LS13xQR5RLkEv9LvT4
MURATAĞA,Gazimağusa,35.2092566,33.7824983,ChIJb1bHoMFK3hQRkS8msBE0yO8
SANDALLAR,Gazimağusa,35.2191608,33.80902620000001,ChIJiVvYky213xQRLpghZSqQR0Q
YILDIRIM,Gazimağusa,35.2347575,33.8020459,ChIJVZiJvjtL3hQRyAHzEUei13I
İNÖNÜ,Gazimağusa,35.1591768,33.7014716,ChIJ23CAl5k23hQRqSVMCHJkHeE
DÖRTYOL,Gazimağusa,35.1642359,33.7629465,ChIJWS2nt6k13hQRU0DCwffkzjo
KORKUTELİ,Gazimağusa,35.1470463,33.8020459,ChIJCSuPp0k13hQRiN0Zm3g8dXA
PİRHAN,Gazimağusa,35.1814156,33.7238308,ChIJLcSlBsE13hQRP8-F4qiLBBc
AKDOĞAN,Gazimağusa,35.1072538,33.6958809,ChIJA8dfLUYw3hQR_xGfkMe5K7g
BEYARMUDU,Gazimağusa,35.0486587,33.6958809,ChIJg1TRneIt3hQR8NVvavMgv4s
ÇAYÖNÜ,Gazimağusa,,,
GÜVERCİNLİK,Gazimağusa,35.0970715,33.8522923,ChIJDbkfx5TL3xQR_buM4Nn1d4w
İNCİRLİ,Gazimağusa,35.1538229,33.3169542,ChIJtcdnJb8Q3hQR80ccwpjkIPk
KÖPRÜLÜ,Gazimağusa,35.1123437,33.7573596,ChIJ_ZaSPp0z3hQR3M2gtEPsjGQ
TÜRKMENKÖY,Gazimağusa,35.1033617,33.7238308,ChIJ1TLrHNsz3hQR7JLKiFS6h5w
PAŞAKÖY,Gazimağusa,35.1481853,33.6119814,ChIJqbkYhwQ63hQRzd97gRoxA8U
ASLANKÖY,Gazimağusa,35.2008698,33.5839983,ChIJg9Z_PJY53hQRZ3xc1Ig97vQ
KURUDERE,Gazimağusa,35.18804,33.6483471,ChIJw29psAo33hQRtm1283EgZJY
ULUKIŞLA,Gazimağusa,35.2094973,33.63436190000001,ChIJWXbKMR443hQRsD8nK7y1Cw4
PİLE,Gazimağusa,35.0134077,33.6922186,ChIJPZiA7ZEu3hQRWvpMYkNkR4o
VADİLİ,Gazimağusa,35.1408048,33.6511438,ChIJWd0rCtww3hQR2QZNitRroNA
