town,gm_id,english_name
Λευκωσία,ChIJVU1JymcX3hQRpcARA5ykXls,Nicosia
Άγιος Δομέτιος,ChIJqzUpSaEQ3hQRgmUX_emhREA,Agios Dometios
Έγκωμη,ChIJtcdnJb8Q3hQR80ccwpjkIPk,Egkomi
Στροβόλος,ChIJ90x2dika3hQRq7-H2HRHAJo,Strovolos
Αγλαντζιά,ChIJb0vkuNMZ3hQR_4oSWBdFjX0,Aglantzia
Λακατάμεια,ChIJvfpe0pgb3hQRzVO7VGoRPls,Lakatamia
Συνοικισμός Ανθούπολης,ChIJB3reYWMb3hQRdCFNyi8yBbM,Anthoupolis
Λατσιά,ChIJbbBNlTcZ3hQRO3tmqqvDS3E,Latsia
Γέρι,ChIJea8LrGAY3hQRBtiaqfqbnPM,Geri
Σιά,ChIJyaqxJB2h4BQR4xR_8HkompQ,Sha
Μαθιάτης,ChIJW3plc8Wm4BQRY6HRtjDfXkY,Mathiatis
Αλάμπρα,ChIJvd1cIXmg4BQRSKeaCzuaokk,Alampra
Αγία Βαρβάρα Λευκωσίας,ChIJHytKHKOg4BQRJEAahLexqTg,Agia Varvara
Κοτσιάτης,ChIJXfhakAAe3hQRWV-sgS8mq-Y,Kotsiatis
Νήσου,ChIJf408cUse3hQR5sC4kmutaRI,Nisou
Πέρα Χωριό,ChIJbVqEZNIf3hQRkuPAwfMYpT8,Pera Chorio
Δάλι,ChIJR1-vP5kf3hQRXYhk8d37OYU,Dali
Λύμπια,ChIJk0dHKUQg3hQR3p4XYnTbcfs,Lympia
Λυθροδόντας,ChIJeUSttX6m4BQRPabXkaXuzYo,Lythrodontas
Λουρουκίνα,ChIJ2yNfV0sg3hQR4PG_cIx5amI,Akıncılar
Ποταμιά,ChIJXYFX2-Yh3hQR1C6c6CBC-Uw,Potamia
Άγιος Σωζόμενος,ChIJfX30_akY3hQRy4cPwVmnOIA,Agios Sozomenos
Καμπί,ChIJzVZYgWOy4BQRwoUE4ku9AW8,Kampi
Φαρμακάς,ChIJ-bk_kXCy4BQRGQXzl7Au-vc,Farmakas
Απλίκι,ChIJZxUDz3ut4BQRWeR3hCyfR4A,Apliki
Λαζανιάς,ChIJbRUs1Yau4BQRfI911c-N-mM,Lazanias
Γούρρη,ChIJ56t8bTKs4BQR3yEzdC9030U,Gourri
Φικάρδου,ChIJyT25BZ2u4BQRNNKmSlgdxw0,Phicardou
Άγιος Επιφάνιος Ορεινής,ChIJ77Xn7Yas4BQR2hnPjL-M-sM,Agios Epifanios
Καλό Χωριό Ορεινής,ChIJ84ahLdyr4BQRZpTIu6SjFt0,Kalo Chorio
Μαλούντα,ChIJ1a-zTJCp4BQRxQkH4DF5wu8,Malounta
Κλήρου,ChIJW709aJ6p4BQRXykhBvjz07w,Klirou
Αρεδιού,ChIJwVMxKN2p4BQR6OGBddW5Ai8,Arediou
Άγιος Ιωάννης Μαλούντας,ChIJi0zWBgwC3hQRw6kYmUlXy94,Agios Ioannis
Αγροκηπιά,ChIJfZipdzuq4BQR4GUtXt_I3Yc,Agrokipia
Μιτσερό,ChIJ18WXTVSq4BQRl-UYm3WF8wg,Mitsero
Καπέδες,ChIJD9NVTaGo4BQRoZJoJgGmZIQ,Kapedes
Καταλιόντας,ChIJoY48wgin4BQRDXmYY3oYQ88,Καταλιόντας
Αναλιόντας,ChIJP_6PB72n4BQRvazQ3VNaRxg,Analiontas
Καμπιά,ChIJi_bATnio4BQRC0HyIJNlrss,Kampia
Μαργί,ChIJRe8074wd3hQRrutvPQCHvEs,Marki
Τσέρι,ChIJVTdztE8c3hQRVbBmDYvcbPg,Tseri
Πολιτικό,ChIJJbfXRBGo4BQRkmJFsuKRiWQ,Politiko
Πέρα,ChIJS7JcUAKo4BQRCQ7BHpXcI2A,Pera
Επισκοπειό,ChIJPyeIfB2o4BQRFz80m27pI0E,Episkopeio
Ψιμολόφου,ChIJlUz3wDQd3hQRWORQJtLLxug,Psimolofou
Εργάτες,ChIJ2an6QrsC3hQR3G-X_ix_7fE,Ergates
Ανάγεια,ChIJJU0Ha9EC3hQRegdjVvVwkvA,Anageia
Πάνω Δευτερά,ChIJ4TmoKNEc3hQRDdjqzWhlFpY,Pano Deftera
Κάτω Δευτερά,ChIJ8-B-78Ec3hQRJT0ooikq-tg,Kato Deftera
Άγιοι Τριμιθιάς,ChIJi0Zg_3YD3hQRXrtXAUWCGkc,Ayioi Trimithias
Παλαιομέτοχο,ChIJ59ZxPo0D3hQRHZNAZO7j0XA,Palaiometocho
Δένεια,ChIJxbOgtsAG3hQRtAkZT4jfeg8,Deneia
Κοκκινοτριμιθιά,ChIJkzVn_WgE3hQRNYojATSGI00,Kokkinotrimithia
