town,gm_id,greek_name
Di̇pkarpaz,ChIJFdx3t2tn3xQRInHdNFtCOCg,Ριζοκάρπασο
Gemi̇konağı,ChIJw1gDZOdY5xQRzgnyO-yf0b4,Καραβοστάσι
Güzelyurt,ChIJfz7P_1H53RQRmbROZQ0T7bg,Μόρφου
Lapta,ChIJSfTuTocM3hQRNbYv5mkqRUM,Λάπηθος
Di̇kmen,ChIJf0s8-cAT3hQRY6tDs7XxiJg,Δίκωμο
Alsancak,ChIJfZOGfvIM3hQRkYt4GUYmTbo,Καραβάς
Gi̇rne,ChIJKS2WH74N3hQRjxHlC6st0tM,Κερύνεια
Tatlısu,ChIJR2udT_RS3hQRsTyTpE9AY8M,Ακανθού
Gazi̇mağusa,ChIJPRZM2kLI3xQRh87TpcUD2yk,Αμμόχωστος
Deği̇rmenli̇k,ChIJlaSb_gc_3hQR-DikEPtnxRA,Κυθρέα
Gönyeli̇,ChIJ-QldKQAR3hQR8jvZU1MIRRg,Κιόνελι
Lefkoşa,ChIJVU1JymcX3hQRpcARA5ykXls,Λευκωσία
İskele,ChIJtbgLUJGx3xQRsvnB1Roi2nw,Τρίκωμο
Hami̇tköy,ChIJC26FTOsW3hQRKlGoqkbKgVU,Μάνδρες
Haspolat,ChIJ0WZmiRQW3hQRWJCZ8IphTlo,Μιά Μηλιά
Akıncılar,ChIJ2yNfV0sg3hQR4PG_cIx5amI,Λουρουκίνα
Alayköy,ChIJWxGOiUsF3hQR8FDvFXTwInM,Γερόλακκος
Türkeli̇,ChIJN1DKMl8P3hQRyX7AxwWQ9Gc,'Αγιος Βασίλειος
Yılmazköy,ChIJiVnxGq0I3hQR6mQTC1bmECs,Σκυλλούρα
Kanlıköy,ChIJcXiUhikQ3hQRf7Poo-iccJ8,Κανλί
Balıkesi̇r,ChIJfW_bJoU-3hQRpOWN0-hwhMg,Παλαίκυθρο
Beyköy,ChIJM-HbHR4_3hQRAY3JKrBLboU,Μπέϊκιοϊ
