town,gm_id,english_name
Di̇pkarpaz,ChIJFdx3t2tn3xQRInHdNFtCOCg,Dipkarpaz
Gemi̇konağı,ChIJw1gDZOdY5xQRzgnyO-yf0b4,Gemikonağı
Güzelyurt,ChIJfz7P_1H53RQRmbROZQ0T7bg,Güzelyurt
Lapta,ChIJSfTuTocM3hQRNbYv5mkqRUM,Lapta
Di̇kmen,ChIJf0s8-cAT3hQRY6tDs7XxiJg,Dikomo
Alsancak,ChIJfZOGfvIM3hQRkYt4GUYmTbo,Karavas
Gi̇rne,ChIJKS2WH74N3hQRjxHlC6st0tM,Kyrenia District
Tatlısu,ChIJR2udT_RS3hQRsTyTpE9AY8M,Tatlısu
Gazi̇mağusa,ChIJPRZM2kLI3xQRh87TpcUD2yk,Famagusta
Deği̇rmenli̇k,ChIJlaSb_gc_3hQR-DikEPtnxRA,Kythrea
Gönyeli̇,ChIJ-QldKQAR3hQR8jvZU1MIRRg,Gönyeli
Lefkoşa,ChIJVU1JymcX3hQRpcARA5ykXls,Nicosia
İskele,ChIJtbgLUJGx3xQRsvnB1Roi2nw,Yeni İskele
Hami̇tköy,ChIJC26FTOsW3hQRKlGoqkbKgVU,Hamitköy
Haspolat,ChIJ0WZmiRQW3hQRWJCZ8IphTlo,Haspolat
Akıncılar,ChIJ2yNfV0sg3hQR4PG_cIx5amI,Akıncılar
Alayköy,ChIJWxGOiUsF3hQR8FDvFXTwInM,Alayköy
Türkeli̇,ChIJN1DKMl8P3hQRyX7AxwWQ9Gc,Türkeli
Yılmazköy,ChIJiVnxGq0I3hQR6mQTC1bmECs,Yılmazköy
Kanlıköy,ChIJcXiUhikQ3hQRf7Poo-iccJ8,Kanlıköy
Balıkesi̇r,ChIJfW_bJoU-3hQRpOWN0-hwhMg,Balıkesir
Beyköy,ChIJM-HbHR4_3hQRAY3JKrBLboU,Beyköy
Ci̇hangi̇r,ChIJ59NDwcQ-3hQR8t_KdN9VwyM,Cihangir
Çukurova,ChIJt0_-qOY43hQR8zS--ctKZNw,Çukurova
Demi̇rhan,ChIJ07rLVGc-3hQRLlt4hMisB50,Demirhan
Di̇lekkaya,ChIJ5yl9NyQ73hQRbXSiiUU8kII,Dilekkaya
Düzova,ChIJd5SzWcw-3hQRZNO7S2SFftY,Düzova
Erdemli̇,ChIJU_02NFMl3hQRREaPEMujC_A,Erdemli
Gazi̇köy,ChIJ2-w-uzA63hQR74hNpr9M35Q,Gaziköy
Gökhan,ChIJ-aMg1uQ-3hQR_evJEFjldp4,Gökhan
Kalavaç,ChIJw9LwmqE43hQRVCDyyfoiWvY,Kalavaç
Kırıkkale,ChIJQ7t3sDwl3hQRa0Wi8RX92a8,Kırıkkale
Kırklar,ChIJa0xaksk83hQR8sIIifpLULE,Kırklar
Meri̇ç,ChIJr3Wloeg73hQRYgQ9kB1WbOs,Meriç
Mi̇nareli̇köy,ChIJ28mhJVo-3hQRTqPXqS3FK4A,Minareliköy
Taşocakları,,
Yeni̇ceköy,ChIJv890F-o43hQR6OX22CGhtiM,Yeniceköy
Yi̇ği̇tler,ChIJwxQz5A8w3hQRoV5TxQSKKtk,Yiğitler
Maraş,ChIJFbxuNW_I3xQRXL-W8cUUcHc,Maraş
Mutluyaka,ChIJgzObm3213xQRhcNFZ3Y4wgU,Mutluyaka
Tuzla,ChIJTyk1qP213xQRe2YltPw6dIE,Tuzla
Yeni̇ Boğazi̇çi̇,ChIJX5JkU8213xQRzoBtqIJxpqA,Yeni Boğaziçi
Akova,ChIJU-OytVBL3hQRMc_Wi2P7kCI,Akova
Alani̇çi̇,ChIJ3_fervFK3hQRMBvuklWgwE0,Alaniçi
Atlılar,ChIJxxEush213xQRzCvoaesLzJA,Atlılar
Mormenekşe,ChIJAyL-5LS13xQR5RLkEv9LvT4,Mormenekşe
Muratağa,ChIJb1bHoMFK3hQRkS8msBE0yO8,Muratağa
Sandallar,ChIJiVvYky213xQRLpghZSqQR0Q,Sandallar
