town,osm_lat,osm_lon
Di̇pkarpaz,35.5977395,34.3806708
Gemi̇konağı,35.1388366,32.8346117
Güzelyurt,35.1985518,32.9934993
Lapta,35.3409121,33.175342
Di̇kmen,,
Alsancak,35.3431715,33.1956124
Gi̇rne,,
Tatlısu,35.3732414,33.7535628
Gazi̇mağusa,35.1245436,33.9325419
Deği̇rmenli̇k,35.2475348,33.4812843
Gönyeli̇,35.2145138,33.302562
Lefkoşa,,
İskele,35.2863679,33.8919192
Hami̇tköy,35.2151704,33.3786657
Haspolat,35.2063724,33.4200196
Akıncılar,35.011537,33.4643102
Alayköy,35.1806595,33.2533088
Türkeli̇,35.2190573,33.1844303
Yılmazköy,35.2304802,33.1652475
Kanlıköy,35.2184284,33.2614926
Balıkesi̇r,35.2084883,33.4934366
Beyköy,35.2365979,33.5010085
Ci̇hangi̇r,35.2274826,33.5134937
Çukurova,35.2245314,33.5557493
Demi̇rhan,35.2233822,33.4793482
Di̇lekkaya,35.1108692,33.5662154
Düzova,35.2149111,33.5266241
Erdemli̇,35.084553,33.6085847
Gazi̇köy,35.1581193,33.5863515
Gökhan,35.2313682,33.4955565
Kalavaç,35.2577589,33.5486665
Kırıkkale,35.0773102,33.5840897
Kırklar,35.1345211,33.5124917
Meri̇ç,35.1730011,33.5441836
Mi̇nareli̇köy,35.2346275,33.4766108
Taşocakları,,
Yeni̇ceköy,35.2385523,33.54679
Yi̇ği̇tler,35.0899187,33.627897
Maraş,35.1004657,33.9590274
Mutluyaka,35.1724218,33.834864
Tuzla,35.1611026,33.8830887
Yeni̇ Boğazi̇çi̇,,
Akova,35.2601669,33.7861636
Alani̇çi̇,35.2201529,33.7599435
Atlılar,35.2100603,33.8264904
Mormenekşe,35.2018399,33.8596954
Muratağa,35.2105353,33.7764211
Sandallar,35.2120574,33.7991837
Yıldırım,35.2395041,33.7808514
İnönü,35.1576104,33.7005485
Dörtyol,35.1755782,33.7568549
Korkuteli̇,35.1673022,33.7889157
Pi̇rhan,35.1841366,33.7259042
Akdoğan,35.105865,33.6822674
Beyarmudu,35.0431635,33.708323
Çayönü,35.0959841,33.7945153
Güverci̇nli̇k,35.100633,33.8614166
İnci̇rli̇,35.0738889,33.7624405
Köprülü,35.1086164,33.7504572
Türkmenköy,35.1035974,33.7169544
Paşaköy,35.1581388,33.6090186
Aslanköy,35.2043581,33.5892324
Kurudere,35.1927809,33.6408025
Ulukışla,35.222767,33.6168368
Pi̇le,,
Vadi̇li̇,35.1337935,33.6557314
Turunçlu,35.1666524,33.6390995
Geçi̇tkale,35.2605334,33.7321988
Çamlıca,35.2826438,33.6879107
Çınarlı,35.3334464,33.7515081
Mallıdağ,35.3327387,33.6890575
Nergi̇sli̇,,
Sütlüce,35.253814,33.6869593
Yamaçköy,35.3287957,33.6780386
Serdarlı,35.2559205,33.6016675
Ergenekon,35.3051173,33.6041113
Gönendere,35.2640771,33.6614828
Görneç,35.2827073,33.5730768
Pınarlı,35.2442596,33.6465368
Ti̇rmen,35.3100676,33.6341154
Küçükerenköy,,
Aşağı Karaman,,
Beylerbeyi̇,35.3065054,33.353218
Doğanköy,35.3256596,33.3344148
Edremi̇t,35.3325405,33.2620671
Karakum,35.3326865,33.3420667
Karaoğlanoğlu,35.3424212,33.2716623
Ozanköy,35.3188533,33.3544245
Zeyti̇nli̇k Köy,,
Ilgaz,35.3232543,33.2210123
İncesu,35.3351157,33.2073533
Yeşi̇ltepe,35.3357308,33.2169914
Arapköy,35.3066986,33.4334742
Çatalköy,35.3213447,33.3906576
Ağırdağ,35.2970651,33.2666775
Akçi̇çek,35.2997562,33.1722989
Aşağı Taşkent,35.2787133,33.3769904
Boğazköy,35.2860748,33.2799058
Dağyolu,35.2645645,33.2220905
Göçeri̇,35.2896806,33.216143
Güngör,35.2658497,33.4208571
Kömürcü,35.2931726,33.2566052
Pınarbaşı,35.2871477,33.2374567
Şi̇ri̇nevler,35.2784517,33.1727025
Yukarı Taşkent,,
Esentepe,35.3394007,33.5831724
Bahçeli̇,35.3383116,33.6302703
Beşparmak,35.3086601,33.469027
Karaağaç,35.3193306,33.5559197
Karaman,35.3204117,33.2589627
Karşıyaka,35.3519956,33.1200771
Akdeni̇z,35.2986814,32.9635543
Alemdağ,35.3080892,33.1516551
Çamlıbel,35.3072059,33.0751473
Geçi̇tköy,35.336326,33.0681663
Hi̇sarköy,35.301416,33.1078601
Karpaşa,35.297798,33.0704157
Kayalar,35.3597382,33.0336704
Kılıçarslan,,
Koruçam,35.3428446,33.0097099
Kozan,35.3107054,33.140665
Özhan,35.2753281,33.1077234
Sadrazamköy,35.3832534,32.9529962
Tepebaşı,,
Akçay,35.1799595,33.0353237
Aşağı Bostancı,35.1685572,33.0066204
Aydınköy,35.1754257,32.9396556
Gayretköy,35.1616976,33.1060206
Güneşköy,35.1765353,32.9567145
Kalkanlı,,
Mevlevi̇,35.2032499,33.060546
Serhatköy,35.1882752,33.0922433
Şahi̇nler,35.1866597,33.0756714
Yayla,35.2251052,32.940156
Yukarı Bostancı,35.1621325,33.0159382
Yuvacık,35.2146574,33.0189154
Zümrütköy,35.1747025,33.0517775
Lefke,35.1132003,32.8499935
Bademli̇köy,35.1588297,32.763247
Bağlıköy,35.1203185,32.8040567
Cengi̇zköy,35.132526,32.8646386
Çamlıköy,35.1156597,32.8769913
Deni̇zli̇,,
Doğancı,35.1331227,32.913372
Gazi̇veren,35.1724843,32.9164496
Taşpınar,35.118146,32.948238
Yedi̇dalga,35.1462068,32.8036484
Yeşi̇lırmak,35.1675235,32.7394894
Yeşi̇lyurt,35.1531147,32.8844033
Ağıllar,35.3467225,33.799342
Altınova,35.3267871,33.8143125
Ardahan,35.3568042,33.8860095
Aygün,35.2561997,33.8627363
Boğaz,35.3150486,33.9505828
Boğazi̇çi̇,35.2693567,33.8256878
Boğaztepe,35.320503,33.9455111
Ergazi̇,35.3656835,33.9378592
Kaleci̇k,35.3424739,33.9998073
Kurtuluş,35.355337,33.9624173
Kuzucuk,35.2374507,33.8594461
Ötüken,35.2346419,33.8723517
Sınırüstü,35.2723811,33.8520394
Topçuköy,35.3397904,33.8734104
Turnalar,35.3598968,33.9219379
Yarköy,35.3284553,33.9289152
Büyükkonuk,35.4104388,33.9935574
Kaplıca,35.4214136,33.904832
Ki̇li̇tkaya,35.3944713,33.9734023
Mersi̇nli̇k,35.3965417,33.8571123
Sazlıköy,,
Tuzluca,35.3629784,33.9970998
Yedi̇konuk,35.4459392,34.0312656
Zeybekköy,35.389416,34.0143602
Mehmetçi̇k,35.4221242,34.0693265
Bafra,35.379518,34.0712539
Balalan,35.4783568,34.1069526
Çayırova,35.3660363,34.0297851
Kumyalı,35.4276576,34.1316404
Pamuklu,35.3977953,34.0765548
Kantara,35.387272,33.8984756
Kaleburnu,35.5224385,34.3026647
Yeni̇ Erenköy,35.5352105,34.1896124
Adaçay,35.5143199,34.1990045
Avtepe,35.4911828,34.2184691
Boltaşlı,35.4780938,34.1674017
Deri̇nce,35.4837899,34.1876376
Esenköy,35.4928658,34.1433772
Geli̇nci̇k,35.4729595,34.150295
Kuruova,35.5108618,34.2741346
Si̇pahi̇,35.5426055,34.2245714
Taşlıca,35.4697834,34.2140289
Yeşi̇lköy,35.5050355,34.1624713
Zi̇yamet,35.4685128,34.1382889
Erenköy,35.1790022,32.6097115
